Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Label,Timestamp
15601.0927734375,24704.66796875,20415.94921875,59677.59375,35619.65234375,46685.84375,-1656011.875,62049.91796875,1,174748.0986569
15578.517578125,24704.17578125,20429.359375,59658.05859375,35614.10546875,46691.54296875,-1655992.5,62043.19140625,1,174748.14347460002
15609.720703125,24717.341796875,20436.53515625,59699.23046875,35625.1484375,46708.05859375,-1656070.125,62074.90625,1,174748.1474746
15615.62109375,24710.3671875,20431.1484375,59680.03125,35621.28125,46697.15234375,-1656000.625,62093.390625,1,174748.1514746
15616.001953125,24717.6328125,20436.06640625,59680.6328125,35610.5546875,46696.6171875,-1656019.125,62111.6328125,1,174748.1720733
15593.76171875,24706.142578125,20429.78515625,59652.42578125,35613.75,46683.8515625,-1655955.0,62086.28515625,1,174748.17607329998
15560.63671875,24702.25390625,20416.6875,59653.07421875,35610.93359375,46663.6015625,-1655955.0,62043.390625,1,174748.2297875
15563.720703125,24710.14453125,20426.833984375,59674.2421875,35614.01953125,46675.25,-1656009.125,62034.6953125,1,174748.23378749998
15601.3837890625,24725.947265625,20436.78125,59708.19140625,35623.29296875,46695.43359375,-1656073.0,62073.296875,1,174748.23778749997
15602.92578125,24709.697265625,20428.2421875,59699.2734375,35616.41015625,46685.57421875,-1656095.25,62056.78125,1,174748.25611020002
15622.8408203125,24711.08203125,20429.78515625,59693.75390625,35624.90234375,46687.71875,-1656039.0,62095.24609375,1,174748.2601102
15605.6298828125,24705.6953125,20426.923828125,59655.62109375,35614.421875,46677.75,-1655990.125,62081.90234375,1,174748.2835752
15580.7080078125,24700.755859375,20427.05859375,59642.96875,35614.64453125,46672.609375,-1655934.375,62047.1015625,1,174748.2875752
15590.7666015625,24708.892578125,20433.919921875,59670.73046875,35617.08203125,46684.5,-1656044.375,62044.328125,1,174748.29157519998
15578.16015625,24712.892578125,20434.970703125,59662.70703125,35619.0234375,46683.0703125,-1655977.5,62044.26171875,1,174748.3357959
15605.7421875,24722.59375,20437.67578125,59705.0625,35620.5,46699.74609375,-1656081.625,62076.00390625,1,174748.33979589998
15613.095703125,24725.634765625,20442.033203125,59685.86328125,35620.54296875,46701.69140625,-1656058.5,62085.5703125,1,174748.3653712
15560.0771484375,24698.9453125,20432.466796875,59636.3984375,35625.4609375,46670.91015625,-1655959.0,62038.8984375,1,174748.39143030002
15568.7275390625,24708.580078125,20437.607421875,59658.66015625,35621.70703125,46680.12109375,-1655998.75,62035.234375,1,174748.3954303
15607.6640625,24716.06640625,20442.8828125,59695.65234375,35627.4296875,46696.9296875,-1656085.875,62082.8203125,1,174748.3994303
15612.6259765625,24718.369140625,20443.888671875,59691.80859375,35620.296875,46696.66015625,-1656076.5,62064.84765625,1,174748.4556468
15619.8232421875,24718.638671875,20448.001953125,59683.76171875,35625.3046875,46696.8828125,-1656044.875,62090.10546875,1,174748.45964679998
15577.6240234375,24695.078125,20426.857421875,59649.40625,35626.40234375,46674.6015625,-1655986.375,62052.77734375,1,174748.5138799
15555.6962890625,24693.0,20424.419921875,59633.89453125,35629.1484375,46666.0390625,-1655964.875,62014.0,1,174748.5178799
15574.025390625,24697.404296875,20419.212890625,59664.62890625,35621.59375,46674.8671875,-1656061.25,62028.68359375,1,174748.52187989998
15574.6953125,24689.580078125,20435.73046875,59659.01953125,35626.8046875,46675.3359375,-1655978.375,62008.96875,1,174748.540683
15613.990234375,24702.87890625,20438.94921875,59696.19140625,35631.9453125,46690.40234375,-1656090.25,62049.08984375,1,174748.544683
15614.90625,24727.869140625,20451.712890625,59742.14453125,35691.0625,46730.12109375,-1656068.25,62086.70703125,1,174748.567626
15567.1630859375,24681.533203125,20434.8359375,59657.23046875,35641.53125,46676.34375,-1655939.5,62015.36328125,1,174748.62419610002
15577.66796875,24696.12890625,20444.671875,59689.41796875,35639.8125,46691.87890625,-1656002.5,62012.92578125,1,174748.6281961
15606.4345703125,24705.494140625,20444.89453125,59716.05859375,35636.68359375,46704.4609375,-1656093.125,62053.875,1,174748.6321961
15601.0263671875,24694.587890625,20435.595703125,59680.85546875,35634.73828125,46691.83203125,-1656034.125,62068.1328125,1,174748.63619609998
15561.1728515625,24686.18359375,20430.34375,59650.32421875,35633.12890625,46678.3984375,-1655960.375,62026.89453125,1,174748.64019609996
15588.1064453125,24698.208984375,20436.267578125,59692.48046875,35624.2109375,46692.14453125,-1656070.625,62038.8984375,1,174748.65138710002
15598.142578125,24694.05078125,20432.4453125,59684.27734375,35620.0546875,46686.69140625,-1656058.25,62062.16796875,1,174748.6553871
15596.9130859375,24684.595703125,20433.583984375,59655.93359375,35617.4140625,46677.4609375,-1656005.125,62056.80078125,1,174748.70894130002
15574.8740234375,24686.697265625,20438.970703125,59641.203125,35620.1640625,46676.6328125,-1655982.375,62028.50390625,1,174748.7129413
15586.005859375,24702.09765625,20448.671875,59674.77734375,35631.83203125,46696.39453125,-1656028.0,62029.35546875,1,174748.7169413
15570.8291015625,24684.619140625,20437.048828125,59647.44140625,35611.46875,46676.12109375,-1656018.0,62007.94140625,1,174748.7376094
15599.259765625,24693.0234375,20439.44140625,59687.3828125,35610.75390625,46690.76171875,-1656095.5,62040.6875,1,174748.7416094
15613.6103515625,24689.69140625,20435.373046875,59691.83203125,35633.328125,46697.12890625,-1656081.625,62067.26171875,1,174748.7645998
15593.9404296875,24679.791015625,20430.365234375,59654.7734375,35632.99609375,46682.71484375,-1656001.125,62050.9921875,1,174748.76859979998
15567.6103515625,24679.923828125,20433.78515625,59640.33203125,35645.578125,46681.55078125,-1655978.875,62006.2890625,1,174748.77259979997
15571.9912109375,24669.419921875,20431.931640625,59641.11328125,35632.34765625,46675.94140625,-1655994.125,62022.4921875,1,174748.82057490002
15579.6357421875,24677.80078125,20437.40625,59656.40234375,35634.06640625,46690.53515625,-1656033.375,62018.04296875,1,174748.8245749
15612.537109375,24699.9296875,20443.732421875,59696.14453125,35638.6484375,46710.85546875,-1656090.25,62059.015625,1,174748.8484055
15627.736328125,24695.19140625,20438.412109375,59696.859375,35634.69140625,46707.078125,-1656071.625,62097.796875,1,174748.8524055
15596.533203125,24671.6328125,20432.4453125,59656.3125,35634.3359375,46684.81640625,-1656009.5,62061.3828125,1,174748.8769724
15572.1923828125,24664.14453125,20425.76171875,59637.5390625,35631.8984375,46672.4765625,-1655978.125,62024.86328125,1,174748.8809724
15558.2451171875,24662.7578125,20421.158203125,59649.40625,35626.84765625,46675.5390625,-1655997.125,62010.33203125,1,174748.9347652
15590.5654296875,24678.001953125,20429.875,59699.453125,35629.21875,46693.0859375,-1656091.75,62043.94921875,1,174748.9387652
15593.6943359375,24672.236328125,20426.6328125,59675.76171875,35627.2734375,46684.6796875,-1656052.875,62059.73046875,1,174748.9427652
15604.7138671875,24666.78125,20434.388671875,59696.7265625,35629.75390625,46694.5390625,-1656077.0,62079.7109375,1,174748.9893296
15581.9150390625,24656.767578125,20428.734375,59657.9453125,35624.9921875,46678.69140625,-1656004.625,62060.3125,1,174748.9933296
15566.537109375,24655.5390625,20421.6484375,59636.98046875,35621.83984375,46664.36328125,-1655983.375,62032.88671875,1,174749.01579140002
15595.6171875,24673.107421875,20431.169921875,59685.88671875,35623.40625,46689.53125,-1656090.25,62050.07421875,1,174749.0690785
